# Created 3 Jul 2023 17:18:21 from Pseudomonas_aeruginosa_PAO1.xml
# Exclude:  EX/DM  EX reversals  non-reversible reactions
# Costs: ( gpa 1 no_gpa 5 ) + ( no_rev 0 rev 1 bad_rev 5 )
MET M_10dmthmcn_c	"10-Deoxymethymycin"
MET M_10fdhf_c	"10-Formyldihydrofolate"
MET M_10fthf5glu_c	"10-formyltetrahydrofolate-[Glu](5)"
MET M_10fthf_c	"10-Formyltetrahydrofolate"
MET M_10m3hddcaACP_c	"10-methyl-3-hydroxy-dodecanoyl-ACP"
MET M_10m3hundecACP_c	"10-methyl-3-hydroxy-undecanoyl-ACP"
MET M_10m3oddcaACP_c	"10-methyl-3-oxo-dodecanoyl-ACP"
MET M_10m3oundecACP_c	"10-methyl-3-oxo-undecanoyl-ACP"
MET M_10mddcaACP_c	"10-methyl-dodecanoyl-ACP"
MET M_10mtddec2eACP_c	"10-methyl-trans-dodec-2-enoyl-ACP"
MET M_10mtundec2eACP_c	"10-methyl-trans-undec-2-enoyl-ACP"
MET M_10mundecACP_c	"10-methyl-undecanoyl-ACP"
MET M_11m3hddcaACP_c	"11-methyl-3-hydroxy-dodecanoyl-ACP"
MET M_11m3oddcaACP_c	"11-methyl-3-oxo-dodecanoyl-ACP"
MET M_11mddcaACP_c	"11-methyl-dodecanoyl-ACP"
MET M_11mtddec2eACP_c	"11-methyl-trans-dodec-2-enoyl-ACP"
MET M_12daihdglyc_c	"1,2-Dianteisoheptadecanoyl-sn-glycerol"
MET M_12daipdglyc_c	"1,2-Dianteisopentadecanoyl-sn-glycerol"
MET M_12dgr120_c	"1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0)"
MET M_12dgr140_c	"1,2-Diacyl-sn-glycerol (ditetradecanoyl, n-C14:0)"
MET M_12dgr141_c	"1,2-Diacyl-sn-glycerol (ditetradec-7-enoyl, n-C14:1)"
MET M_12dgr160_c	"1,2-Diacyl-sn-glycerol (dihexadecanoyl, n-C16:0)"
MET M_12dgr161_c	"1,2-Diacyl-sn-glycerol (dihexadec-9-enoyl, n-C16:1)"
MET M_12dgr180_c	"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)"
MET M_12dgr181_c	"1,2-Diacyl-sn-glycerol (dioctadec-11-enoyl, n-C18:1)"
MET M_12dihdglyc_c	"1,2-Diisoheptadecanoyl-sn-glycerol"
MET M_12dipdglyc_c	"1,2-Diisopentadecanoyl-sn-glycerol"
MET M_12ditdglyc_c	"1,2-Diisotetradecanoyl-sn-glycerol"
MET M_12dixdglyc_c	"1,2-Diisohexadecanoyl-sn-glycerol"
MET M_12m3hmyrsACP_c	"12-methyl-3-hydroxy-tetra-decanoyl-ACP"
MET M_12m3htridecACP_c	"12-methyl-3-hydroxy-tridecanoyl-ACP"
MET M_12m3omyrsACP_c	"12-methyl-3-oxo-tetra-decanoyl-ACP"
MET M_12m3otridecACP_c	"12-methyl-3-oxo-tridecanoyl-ACP"
MET M_12mmyrsACP_c	"12-methyl-tetra-decanoyl-ACP"
MET M_12mtmrs2eACP_c	"12-methyl-trans-tetra-dec-2-enoyl-ACP"
MET M_12mtridecACP_c	"12-methyl-tridecanoyl-ACP"
MET M_12mttritec2eACP_c	"12-methyl-trans-tridec-2-enoyl-ACP"
MET M_13dampp_c	"trimethylenediaminium"
