biolog 3107
M_4hba_c -1000 0
M_5mta_e -1000 0
M_ca2_e  -1000 1000
M_cd2_e  -1000 1000
M_cl_e  -1000 1000
M_co2_e -1000 0
M_cobalt2_e  -1000 1000
M_cu2_e  -1000 1000
M_fe2_e  -1000 1000
M_fe3_e  -1000 1000
M_h2o_e  -1000 1000
M_h_e  -1000 1000
M_k_e  -1000 1000
M_mg2_e  -1000 1000
M_mn2_e  -1000 1000
M_n2_e  -1000 1000
M_na1_c -1000 0
M_na1_e  -1000 1000
M_nh4_e  -1000 1000
M_o2_e  -1000 1000
M_PGPm1_c -1000 0
M_pi_e  -1000 1000
M_so4_e  -1000 1000
M_zn2_e  -1000 1000

M_4abut_e 0 10
M_ala_L_e 0 10
M_cit_e 0 10
M_glc_D_e 0 10
M_glu_L_e 0 10
M_pro_L_e 0 10
M_ptrc_e 0 10

